Run	MT-min	MT-Q1	MT-Median	MT-Mean	MT-Q3	MT-max	RB-min	RB-Q1	RB-Median	RB-Mean	RB-Q3	RB-max	n_genes	n_cells
SRR15990871	0.643086822923667	3.4386935797928	4.00262925658962	3.92917308888406	4.50362274809873	5	3.64583323863636	11.9447760724916	17.1218508693773	18.4614618732313	26.1321073700818	30	11592	25098
SRR15990872	0.943396374747858	3.39879154591962	3.96825396825397	3.89456372138831	4.47284345047923	5	3.9946958501434	11.7413262997165	16.6666526474104	18.0715607165142	25.4989916121336	30	11560	23893
SRR15990873	0.317460314436886	3.42679115449191	3.99348880518237	3.91913613053026	4.49101800777188	5	2.89617634596432	11.8504792641629	16.98112817181	18.3357567492268	25.9921999400918	30	11613	24512
SRR15990875	0.675675703067934	3.35634852479583	3.9312050902816	3.8650345902658	4.45205479452055	5	2.65486869240607	12.0079914174018	17.23728550376	18.4582648144967	26.073630970302	29.9999905405393	11591	25017
SRR15990876	0.609756091983938	3.38686773668407	3.95702669934868	3.89048071868161	4.47761250000007	5	3.42205506802177	12.0501586358478	17.2740044699656	18.534536116361	26.1871461740275	30	11609	25108
SRR15990877	1.05540910464284	3.40136055289463	3.97727210582396	3.90490660814971	4.48179367433269	5	2.98982175572519	12.1307544360377	17.5475192798686	18.7232767355043	26.4997728187013	30	11643	25810
SRR15990878	0.895522380040098	3.3912362538656	3.96341439247473	3.89503564226829	4.47368479916905	5	2.48945262671579	12.1121644679876	17.4380685938735	18.6485954640059	26.334335587176	30	11593	25691
SRR15990879	1.36363636363636	3.48272143682447	4.02930388171048	3.95140221949686	4.50191572125336	5	4.34395144628596	14.1788552176799	18.978224120603	19.4025063026155	25.2894611358614	29.9999921348306	11645	22093
SRR15990880	1.13960151946831	3.49494657691313	4.04380409014528	3.96530394131266	4.51453762734084	5	4.42989266701128	14.1788550402286	18.9328870220565	19.3663439358201	25.2131714130788	29.9999929898983	11684	21998
SRR15990881	1.49679276974452	3.50363451586005	4.04778856925585	3.97220460437089	4.52226396269605	5	4.50013526122518	14.1309718107874	18.9079557339272	19.3514015593392	25.2089413803155	29.9999919540221	11635	22044
SRR15990882	1.19331741389033	3.4652514074212	4.00954811258893	3.94380178245049	4.50450581831871	5	4.24656725302139	14.2491400664745	18.9871997084183	19.4005070664533	25.2095125124684	30	11647	21912
SRR15990883	1.26849887721306	3.39622648237807	3.96039617194394	3.89530478077501	4.46342911621099	5	4.18722325731405	14.4139088248821	19.2515285046151	19.5337146620869	25.2576187262872	30	11612	22322
SRR15990884	1.11111095679014	3.41960052055039	3.97845873169457	3.91315499027413	4.4811324321657	5	4.17275579221999	14.3862112232456	19.2374657493287	19.5430220393311	25.2266130903145	30	11683	22330
SRR15990885	0.66225164905048	3.41959335197707	3.98069898987411	3.91453050993559	4.48063840920984	5	4.33990068900083	14.3180534804754	19.1401696844896	19.4829325990984	25.274121959942	30	11635	22277
SRR15990886	1.15740728148578	3.41819431083791	3.96475671951741	3.90598305822048	4.46808632797683	5	4.47102734489544	14.4402693437137	19.204910450295	19.5392878584472	25.3098045964552	30	11604	22355
SRR15990887	1.31233578578271	3.37301567224113	3.94321635950247	3.87916829228323	4.46153826248522	5	4.17172150308489	14.7431231354634	20.9512295205926	20.6647305269467	27.4775008469785	30	11767	28865
SRR15990888	0.295857985539722	2.79720262482274	3.48432013864445	3.42458030967019	4.12698468379953	5	3.84217829694869	9.61455355766264	11.8465942810404	12.4468178218398	14.6776957866919	29.667610098222	10470	7374
SRR15990889	1.09289632416616	3.40985909408545	3.96659848501408	3.90087871934115	4.46602090036811	5	3.93918652039668	14.843502951244	20.9845205881454	20.7204022388428	27.5597192407895	30	11833	29167
SRR15990890	1.36003956613258	3.38301745060018	3.9473679882272	3.8816139903686	4.45269055111341	5	4.28301535840217	14.7894732172362	20.7329702045423	20.6349150592208	27.5233308780621	30	11776	28471
SRR15990891	1.00000015666669	3.31907089123932	3.89749231315262	3.83879966626188	4.42105263157895	5	4.28656461507255	14.8513035874019	20.8333245386151	20.6646219079385	27.494000472429	30	11736	28326
SRR15990892	0	2.78158537809604	3.48101248197406	3.41069780277591	4.10493707699063	4.99999994642857	4.04159295129462	9.52891464468798	11.705123268106	12.2618507500013	14.3585769583099	29.7272302357836	10373	6790
SRR15990893	1.25000000390625	3.36471723026691	3.91984078979093	3.86404739137145	4.43162081120901	5	4.156225483458	14.8591450221984	20.7591584986751	20.6743345913296	27.5581215490101	30	11781	28424
SRR15990894	1.22448979092045	3.33775903430189	3.89619430635606	3.84542405176251	4.42651281078319	5	4.07313457737542	14.8469912111268	20.6944861579721	20.6566264490843	27.5452027929748	30	11762	28058
SRR15990897	0.92592622599461	3.29507881085288	3.88473208162025	3.82287003150639	4.42307836908331	5	4.76572871769868	15.634281372821	23.9591474805373	21.6337082765469	27.5687074810863	30	11734	35736
SRR15990898	1.12994335280413	3.27377317276904	3.86690765714803	3.80853905712889	4.41433872575737	5	4.56253955722893	15.5824322118222	23.7240835617889	21.5524547288622	27.5261256750614	30	11708	35267
SRR15990899	0.88691786176077	3.24372635070324	3.83877208797994	3.78201197064715	4.38802774716279	5	4.87286787523474	15.7454549113139	23.8454163383459	21.6958851446263	27.7345683349447	30	11729	34848
SRR15990900	0.677200760768238	3.24675252642396	3.84294079420216	3.78452166820396	4.38799076212471	5	4.88524234489879	15.7651471564862	23.835772959391	21.6888285999995	27.7267730255096	30	11719	34807
