	% of divergence bins:
Rclass	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[

DNA	8275	150943	323795	346098	180886	156203	117751	106301	136196	88403	74908	91191	134359	256025	502099	223328	259130	203869	121526	82674	69874	56827	61590	51129	53483	39334	27338	17239	13786	9830	7344	3114	5044	2803	1882	833	708	111	0	0
Unknown	100741	84117	109706	332477	263850	295257	295204	643878	356749	324186	256465	311936	292912	361023	1803907	2873933	474337	458912	507353	520264	476619	456054	376301	321571	255839	206586	148326	97341	64585	47903	25534	17592	10231	6275	2807	2491	332	264	0	0
RC	0	0	0	0	0	0	308	850	681	2601	2764	3580	17756	13659	14231	20296	35159	40437	31404	33980	32018	29108	42229	55443	42305	22556	14499	18193	7058	433	8	92	153	0	0	0	0	0	0	0
LTR	0	3751	5365	14688	11519	8942	6088	10517	4981	5515	14006	6974	25587	24562	13573	25156	32431	38294	46525	19030	26803	20589	16082	8944	5184	5289	2633	2839	1098	970	714	190	113	183	0	0	0	0	0	0
