	% of divergence bins:
Rclass	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[

RC	0	0	0	0	0	0	240	150	629	1417	3429	2407	7597	7392	7892	17411	23976	24788	16229	22212	25186	23168	26197	27753	18068	10450	7721	4470	2967	561	185	92	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	0	5566	0	8812	9714	3477	6669	6611	6411	11768	16495	23654	30712	19051	16519	26597	30201	49436	50608	27801	24973	23162	13618	11179	5711	6275	2558	1964	523	994	492	339	393	251	0	148	133	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	15255	84151	338328	392782	183006	144023	106104	101971	116762	109706	81666	90608	101411	139968	159390	109797	124517	101455	95325	74708	71456	53231	57028	49844	53225	37482	27731	17480	13119	9261	9382	4350	4652	3337	2213	152	370	407	29	0	0	0	0	0	0	0	0	0	0	0
Unknown	88552	139272	129950	168060	150322	226605	306834	270856	258757	253940	237579	245424	277890	275998	468994	434019	440238	467825	473412	465620	484333	443659	388172	325532	263544	194982	137200	101146	62351	46121	30217	18359	9392	6663	1722	1708	532	412	0	123	0	0	0	0	0	0	0	0	0	0
