p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.319970291063663	0.466	0.118	0	11	LOC412647
0	0.319902335680511	0.602	0.209	0	11	LOC410140
0	0.319900278205116	0.465	0.116	0	11	LOC409074
0	0.319778252645909	0.579	0.184	0	11	LOC550914
0	0.31974763495905	0.45	0.108	0	11	LOC552645
0	0.319516870085479	0.469	0.117	0	11	LOC113218850
0	0.319376286493469	0.528	0.154	0	11	LOC102656620
0	0.319160042048719	0.419	0.092	0	11	LOC551293
0	0.319070026093127	0.687	0.28	0	11	LOC552608
0	0.319037669931031	0.49	0.13	0	11	LOC551422
0	0.318884623756631	0.359	0.062	0	11	MT-LOC408352
0	0.318873121120151	0.397	0.081	0	11	LOC412985
0	0.318720785158144	0.438	0.104	0	11	LOC551118
0	0.318642469689986	0.305	0.038	0	11	LOC412112
0	0.318616286324909	0.38	0.076	0	11	LOC408887
0	0.318598904942219	0.444	0.103	0	11	LOC552074
0	0.318521140142319	0.646	0.224	0	11	LOC413164
0	0.31850731451057	0.529	0.155	0	11	LOC107963990
0	0.318276972363995	0.378	0.087	0	11	LOC725542
0	0.317916153186533	0.973	0.595	0	11	MT-LOC408308
0	0.317889507689997	0.352	0.061	0	11	LOC408285
0	0.317813819808237	0.445	0.104	0	11	MT-rnd-5-family-3874#Unknown
0	0.317798453686944	0.407	0.086	0	11	LOC409351
0	0.317556674411876	0.499	0.139	0	11	LOC726928
0	0.317549398087851	0.388	0.08	0	11	LOC551433
0	0.317407744183026	0.589	0.191	0	11	LOC724215
0	0.317381898327389	0.455	0.112	0	11	LOC412728
0	0.317328716052603	0.584	0.179	0	11	RB-LOC409637
0	0.316693945191301	0.404	0.09	0	11	MT-LOC410023
0	0.316687248055247	0.363	0.064	0	11	MT-LOC411103
0	0.316609990981947	0.512	0.145	0	11	LOC550710
0	0.316577273681705	0.433	0.103	0	11	LOC552239
0	0.316560135370345	0.375	0.07	0	11	LOC409544
0	0.316526716276947	0.496	0.134	0	11	LOC552315
0	0.316067931997619	0.484	0.127	0	11	LOC725167
0	0.316010113585436	0.359	0.063	0	11	LOC552354
0	0.315884079741107	0.627	0.209	0	11	LOC725419
0	0.315767476241294	0.531	0.151	0	11	LOC552424
0	0.315673760175155	0.475	0.119	0	11	LOC410403
